kabkota_4digit,kode_prov,nama_prov,kode_kab_2digit,nama_kab
7412,74,Sulawesi Tenggara,12,Kab Konawe Kepulauan
7413,74,Sulawesi Tenggara,13,Kab Muna Barat
7414,74,Sulawesi Tenggara,14,Kab Buton Tengah
7415,74,Sulawesi Tenggara,15,Kab Buton Selatan
7471,74,Sulawesi Tenggara,71,Kota Kendari
7472,74,Sulawesi Tenggara,72,Kota Bau Bau
7501,75,Gorontalo,1,Kab Boalemo
7502,75,Gorontalo,2,Kab Gorontalo
7503,75,Gorontalo,3,Kab Pohuwato
7504,75,Gorontalo,4,Kab Bone Bolango
7505,75,Gorontalo,5,Kab Gorontalo Utara
7571,75,Gorontalo,71,Kota Gorontalo
7601,76,Sulawesi Barat,1,Kab Majene
7602,76,Sulawesi Barat,2,Kab Polewali Mandar
7603,76,Sulawesi Barat,3,Kab Mamasa
7604,76,Sulawesi Barat,4,Kab Mamuju
7605,76,Sulawesi Barat,5,Kab Pasangkayu
7606,76,Sulawesi Barat,6,Kab Mamuju Tengah
8101,81,Maluku,1,Kab Kepulauan Tanimbar
8102,81,Maluku,2,Kab Maluku Tenggara
8103,81,Maluku,3,Kab Maluku Tengah
8104,81,Maluku,4,Kab Buru
8105,81,Maluku,5,Kab Kepulauan Aru
8106,81,Maluku,6,Kab Seram Bagian Barat
